dataset,metric,routepo_variant,baseline,n_users,mean_delta,ci95_low,ci95_high,p_value,bootstrap_samples,seed,routepo_method,baseline_method,model_name,prediction_cache,checkpoint_path,test_dataset_path,best_single_channel,baseline_selector_metric,single_channel_metrics,max_length
ml-1m,ndcg@20,Llama-3.2-1B-Instruct,best_single:lightgcn,1004,0.024325587291092222,0.01470827728068912,0.0338151955813448,0.0,10000,42,top_k,single:lightgcn,meta-llama/Llama-3.2-1B-Instruct,/data/sjc4fq/ColdRec/AmazonReviews2023/emnlp_recycle_outputs/predictions/manual_predictions_ml-1m_Llama-3.2-1B-Instruct_itemknn_lightgcn_pop_pc500000_ptk3_k50_all.json,/data/sjc4fq/ColdRec/AmazonReviews2023/GRPO/data/pure_models/ml-1m/Llama-3.2-1B-Instruct_pure_sft_ItemKNN_LightGCN_Pop_pc500000,/data/sjc4fq/ColdRec/AmazonReviews2023/GRPO/data/pure_models/ml-1m/Llama-3.2-1B-Instruct_pure_sft_data_ItemKNN_LightGCN_Pop_500000/test,lightgcn,ndcg@50,"{""itemknn"": 0.265518231526047, ""lightgcn"": 0.27925049713165667, ""pop"": 0.15723462087432052}",2777
ml-1m,ndcg@50,Llama-3.2-1B-Instruct,best_single:lightgcn,1004,0.021100794371880633,0.01219513233604293,0.029943422996409536,0.0,10000,42,top_k,single:lightgcn,meta-llama/Llama-3.2-1B-Instruct,/data/sjc4fq/ColdRec/AmazonReviews2023/emnlp_recycle_outputs/predictions/manual_predictions_ml-1m_Llama-3.2-1B-Instruct_itemknn_lightgcn_pop_pc500000_ptk3_k50_all.json,/data/sjc4fq/ColdRec/AmazonReviews2023/GRPO/data/pure_models/ml-1m/Llama-3.2-1B-Instruct_pure_sft_ItemKNN_LightGCN_Pop_pc500000,/data/sjc4fq/ColdRec/AmazonReviews2023/GRPO/data/pure_models/ml-1m/Llama-3.2-1B-Instruct_pure_sft_data_ItemKNN_LightGCN_Pop_500000/test,lightgcn,ndcg@50,"{""itemknn"": 0.265518231526047, ""lightgcn"": 0.27925049713165667, ""pop"": 0.15723462087432052}",2777
ml-1m,recall@20,Llama-3.2-1B-Instruct,best_single:lightgcn,1004,0.06799468791500664,0.05419945219123506,0.08220493027888445,0.0,10000,42,top_k,single:lightgcn,meta-llama/Llama-3.2-1B-Instruct,/data/sjc4fq/ColdRec/AmazonReviews2023/emnlp_recycle_outputs/predictions/manual_predictions_ml-1m_Llama-3.2-1B-Instruct_itemknn_lightgcn_pop_pc500000_ptk3_k50_all.json,/data/sjc4fq/ColdRec/AmazonReviews2023/GRPO/data/pure_models/ml-1m/Llama-3.2-1B-Instruct_pure_sft_ItemKNN_LightGCN_Pop_pc500000,/data/sjc4fq/ColdRec/AmazonReviews2023/GRPO/data/pure_models/ml-1m/Llama-3.2-1B-Instruct_pure_sft_data_ItemKNN_LightGCN_Pop_500000/test,lightgcn,ndcg@50,"{""itemknn"": 0.265518231526047, ""lightgcn"": 0.27925049713165667, ""pop"": 0.15723462087432052}",2777
ml-1m,recall@50,Llama-3.2-1B-Instruct,best_single:lightgcn,1004,0.05471447543160691,0.0414496181938911,0.06852631142098273,0.0,10000,42,top_k,single:lightgcn,meta-llama/Llama-3.2-1B-Instruct,/data/sjc4fq/ColdRec/AmazonReviews2023/emnlp_recycle_outputs/predictions/manual_predictions_ml-1m_Llama-3.2-1B-Instruct_itemknn_lightgcn_pop_pc500000_ptk3_k50_all.json,/data/sjc4fq/ColdRec/AmazonReviews2023/GRPO/data/pure_models/ml-1m/Llama-3.2-1B-Instruct_pure_sft_ItemKNN_LightGCN_Pop_pc500000,/data/sjc4fq/ColdRec/AmazonReviews2023/GRPO/data/pure_models/ml-1m/Llama-3.2-1B-Instruct_pure_sft_data_ItemKNN_LightGCN_Pop_500000/test,lightgcn,ndcg@50,"{""itemknn"": 0.265518231526047, ""lightgcn"": 0.27925049713165667, ""pop"": 0.15723462087432052}",2777
steam,ndcg@20,Llama-3.2-1B-Instruct,best_single:lightgcn,2398,0.0014840728120581348,-0.0026306644238595304,0.005823071082615755,0.4988,10000,42,top_k,single:lightgcn,meta-llama/Llama-3.2-1B-Instruct,/data/sjc4fq/ColdRec/AmazonReviews2023/emnlp_recycle_outputs/predictions/manual_predictions_steam_Llama-3.2-1B-Instruct_itemknn_lightgcn_pop_pc500000_ptk3_k50_all.json,/data/sjc4fq/ColdRec/AmazonReviews2023/GRPO/data/pure_models/steam/Llama-3.2-1B-Instruct_pure_sft_ItemKNN_LightGCN_Pop_pc500000,/data/sjc4fq/ColdRec/AmazonReviews2023/GRPO/data/pure_models/steam/Llama-3.2-1B-Instruct_pure_sft_data_ItemKNN_LightGCN_Pop_500000/test,lightgcn,ndcg@50,"{""itemknn"": 0.2311501255727679, ""lightgcn"": 0.4842434847377419, ""pop"": 0.2741354095054739}",3228
steam,ndcg@50,Llama-3.2-1B-Instruct,best_single:lightgcn,2398,0.0028174977668188666,-0.001287850273494935,0.007117629894214041,0.187,10000,42,top_k,single:lightgcn,meta-llama/Llama-3.2-1B-Instruct,/data/sjc4fq/ColdRec/AmazonReviews2023/emnlp_recycle_outputs/predictions/manual_predictions_steam_Llama-3.2-1B-Instruct_itemknn_lightgcn_pop_pc500000_ptk3_k50_all.json,/data/sjc4fq/ColdRec/AmazonReviews2023/GRPO/data/pure_models/steam/Llama-3.2-1B-Instruct_pure_sft_ItemKNN_LightGCN_Pop_pc500000,/data/sjc4fq/ColdRec/AmazonReviews2023/GRPO/data/pure_models/steam/Llama-3.2-1B-Instruct_pure_sft_data_ItemKNN_LightGCN_Pop_500000/test,lightgcn,ndcg@50,"{""itemknn"": 0.2311501255727679, ""lightgcn"": 0.4842434847377419, ""pop"": 0.2741354095054739}",3228
steam,recall@20,Llama-3.2-1B-Instruct,best_single:lightgcn,2398,0.03372254656658326,0.026042361690297472,0.041527835696413676,0.0,10000,42,top_k,single:lightgcn,meta-llama/Llama-3.2-1B-Instruct,/data/sjc4fq/ColdRec/AmazonReviews2023/emnlp_recycle_outputs/predictions/manual_predictions_steam_Llama-3.2-1B-Instruct_itemknn_lightgcn_pop_pc500000_ptk3_k50_all.json,/data/sjc4fq/ColdRec/AmazonReviews2023/GRPO/data/pure_models/steam/Llama-3.2-1B-Instruct_pure_sft_ItemKNN_LightGCN_Pop_pc500000,/data/sjc4fq/ColdRec/AmazonReviews2023/GRPO/data/pure_models/steam/Llama-3.2-1B-Instruct_pure_sft_data_ItemKNN_LightGCN_Pop_500000/test,lightgcn,ndcg@50,"{""itemknn"": 0.2311501255727679, ""lightgcn"": 0.4842434847377419, ""pop"": 0.2741354095054739}",3228
steam,recall@50,Llama-3.2-1B-Instruct,best_single:lightgcn,2398,0.03911592994161801,0.031227411731998885,0.04719905476786211,0.0,10000,42,top_k,single:lightgcn,meta-llama/Llama-3.2-1B-Instruct,/data/sjc4fq/ColdRec/AmazonReviews2023/emnlp_recycle_outputs/predictions/manual_predictions_steam_Llama-3.2-1B-Instruct_itemknn_lightgcn_pop_pc500000_ptk3_k50_all.json,/data/sjc4fq/ColdRec/AmazonReviews2023/GRPO/data/pure_models/steam/Llama-3.2-1B-Instruct_pure_sft_ItemKNN_LightGCN_Pop_pc500000,/data/sjc4fq/ColdRec/AmazonReviews2023/GRPO/data/pure_models/steam/Llama-3.2-1B-Instruct_pure_sft_data_ItemKNN_LightGCN_Pop_500000/test,lightgcn,ndcg@50,"{""itemknn"": 0.2311501255727679, ""lightgcn"": 0.4842434847377419, ""pop"": 0.2741354095054739}",3228
Food,ndcg@20,Llama-3.2-1B-Instruct,best_single:itemknn,1922,0.04863783128275822,0.036654386255134334,0.061102147988872986,0.0,10000,42,top_k,single:itemknn,meta-llama/Llama-3.2-1B-Instruct,/data/sjc4fq/ColdRec/AmazonReviews2023/emnlp_recycle_outputs/predictions/manual_predictions_Food_Llama-3.2-1B-Instruct_itemknn_lightgcn_pop_pc500000_ptk3_k50_all.json,/data/sjc4fq/ColdRec/AmazonReviews2023/GRPO/data/pure_models/Food/Llama-3.2-1B-Instruct_pure_sft_ItemKNN_LightGCN_Pop_pc500000,/data/sjc4fq/ColdRec/AmazonReviews2023/GRPO/data/pure_models/Food/Llama-3.2-1B-Instruct_pure_sft_data_ItemKNN_LightGCN_Pop_500000/test,itemknn,ndcg@50,"{""itemknn"": 0.41149545533299536, ""lightgcn"": 0.16338981573732525, ""pop"": 0.07828934695842943}",9137
Food,ndcg@50,Llama-3.2-1B-Instruct,best_single:itemknn,1922,0.04752938111189486,0.03599156769389102,0.059491499097107096,0.0,10000,42,top_k,single:itemknn,meta-llama/Llama-3.2-1B-Instruct,/data/sjc4fq/ColdRec/AmazonReviews2023/emnlp_recycle_outputs/predictions/manual_predictions_Food_Llama-3.2-1B-Instruct_itemknn_lightgcn_pop_pc500000_ptk3_k50_all.json,/data/sjc4fq/ColdRec/AmazonReviews2023/GRPO/data/pure_models/Food/Llama-3.2-1B-Instruct_pure_sft_ItemKNN_LightGCN_Pop_pc500000,/data/sjc4fq/ColdRec/AmazonReviews2023/GRPO/data/pure_models/Food/Llama-3.2-1B-Instruct_pure_sft_data_ItemKNN_LightGCN_Pop_500000/test,itemknn,ndcg@50,"{""itemknn"": 0.41149545533299536, ""lightgcn"": 0.16338981573732525, ""pop"": 0.07828934695842943}",9137
